| Город/Регион/Область | Население | Площадь (км²) | Тип | Округ |
| Москва | 12 506 468 | 2 511 | Город | Центральный федеральный округ |
| Санкт-Петербург | 5 383 890 | 1 439 | Город | Северо-Западный федеральный округ |
| Московская область | 7 495 494 | 44 357 | Область | Центральный федеральный округ |
| Ленинградская область | 1 813 986 | 84 500 | Область | Северо-Западный федеральный округ |
| Республика Татарстан | 3 860 516 | 68 000 | Республика | Приволжский федеральный округ |
| Краснодарский край | 5 550 526 | 76 000 | Край | Южный федеральный округ |
| Новосибирская область | 2 739 040 | 177 800 | Область | Сибирский федеральный округ |
| Республика Башкортостан | 1 072 292 | 143 600 | Республика | Приволжский федеральный округ |
| Свердловская область | 4 324 724 | 194 800 | Область | Уральский федеральный округ |
| Республика Крым | 2 284 000 | 26 100 | Республика | Южный федеральный округ |
| Ханты-Мансийский автономный округ | 1 532 243 | 523 100 | Автономный округ | Уральский федеральный округ |
| Кемеровская область | 2 689 876 | 95 500 | Область | Сибирский федеральный округ |
| Республика Карелия | 622 484 | 180 520 | Республика | Северо-Западный федеральный округ |
| Тюменская область | 3 492 339 | 1 435 200 | Область | Уральский федеральный округ |
| Калининградская область | 991 308 | 15 100 | Область | Северо-Западный федеральный округ |
| Ростовская область | 4 277 976 | 100 800 | Область | Южный федеральный округ |
